date;region;cases
2020-05-17;AT-9;16
2020-05-18;AT-1;1
2020-05-18;AT-2;0
2020-05-18;AT-3;12
2020-05-18;AT-4;1
2020-05-18;AT-5;1
2020-05-18;AT-6;3
2020-05-18;AT-7;1
2020-05-18;AT-8;0
2020-05-18;AT-9;39
2020-05-19;AT-1;0
2020-05-19;AT-2;0
2020-05-19;AT-3;8
2020-05-19;AT-4;8
2020-05-19;AT-5;2
2020-05-19;AT-6;3
2020-05-19;AT-7;3
2020-05-19;AT-8;7
2020-05-19;AT-9;30
2020-05-20;AT-1;0
2020-05-20;AT-2;0
2020-05-20;AT-3;7
2020-05-20;AT-4;2
2020-05-20;AT-5;0
2020-05-20;AT-6;3
2020-05-20;AT-7;2
2020-05-20;AT-8;0
2020-05-20;AT-9;16
2020-05-21;AT-1;1
2020-05-21;AT-2;0
2020-05-21;AT-3;9
2020-05-21;AT-4;1
2020-05-21;AT-5;0
2020-05-21;AT-6;0
2020-05-21;AT-7;0
2020-05-21;AT-8;1
2020-05-21;AT-9;19
2020-05-22;AT-1;0
2020-05-22;AT-2;0
2020-05-22;AT-3;2
2020-05-22;AT-4;2
2020-05-22;AT-5;0
2020-05-22;AT-6;3
2020-05-22;AT-7;1
2020-05-22;AT-8;1
2020-05-22;AT-9;19
2020-05-23;AT-1;0
2020-05-23;AT-2;0
2020-05-23;AT-3;4
2020-05-23;AT-4;0
2020-05-23;AT-5;0
2020-05-23;AT-6;0
2020-05-23;AT-7;1
2020-05-23;AT-8;0
2020-05-23;AT-9;19
2020-05-24;AT-1;1
2020-05-24;AT-2;1
2020-05-24;AT-3;9
2020-05-24;AT-4;1
2020-05-24;AT-5;1
2020-05-24;AT-6;1
2020-05-24;AT-7;0
2020-05-24;AT-8;0
2020-05-24;AT-9;17
2020-05-25;AT-1;0
2020-05-25;AT-2;1
2020-05-25;AT-3;4
2020-05-25;AT-4;0
2020-05-25;AT-5;0
2020-05-25;AT-6;0
2020-05-25;AT-7;0
2020-05-25;AT-8;0
2020-05-25;AT-9;20
2020-05-26;AT-1;0
2020-05-26;AT-2;1
2020-05-26;AT-3;4
2020-05-26;AT-4;0
2020-05-26;AT-5;0
2020-05-26;AT-6;0
2020-05-26;AT-7;0
2020-05-26;AT-8;0
2020-05-26;AT-9;17
2020-05-27;AT-1;0
2020-05-27;AT-2;1
2020-05-27;AT-3;11
2020-05-27;AT-4;0
2020-05-27;AT-5;1
2020-05-27;AT-6;0
2020-05-27;AT-7;0
2020-05-27;AT-8;0
2020-05-27;AT-9;37
2020-05-28;AT-1;1
2020-05-28;AT-2;0
2020-05-28;AT-3;1
2020-05-28;AT-4;2
2020-05-28;AT-5;1
2020-05-28;AT-6;0
2020-05-28;AT-7;1
2020-05-28;AT-8;1
2020-05-28;AT-9;12
2020-05-29;AT-1;0
2020-05-29;AT-2;0
2020-05-29;AT-3;2
2020-05-29;AT-4;0
2020-05-29;AT-5;0
2020-05-29;AT-6;1
2020-05-29;AT-7;0
2020-05-29;AT-8;0
2020-05-29;AT-9;39
2020-05-30;AT-1;1
2020-05-30;AT-2;0
2020-05-30;AT-3;1
2020-05-30;AT-4;1
2020-05-30;AT-5;0
2020-05-30;AT-6;0
2020-05-30;AT-7;0
2020-05-30;AT-8;1
2020-05-30;AT-9;28
2020-05-31;AT-1;0
2020-05-31;AT-2;0
2020-05-31;AT-3;0
2020-05-31;AT-4;1
2020-05-31;AT-5;0
2020-05-31;AT-6;0
2020-05-31;AT-7;0
2020-05-31;AT-8;0
2020-05-31;AT-9;4
2020-06-01;AT-1;0
2020-06-01;AT-2;0
2020-06-01;AT-3;2
2020-06-01;AT-4;1
2020-06-01;AT-5;0
2020-06-01;AT-6;1
2020-06-01;AT-7;1
2020-06-01;AT-8;0
2020-06-01;AT-9;14
2020-06-02;AT-1;0
2020-06-02;AT-2;1
2020-06-02;AT-3;2
2020-06-02;AT-4;0
2020-06-02;AT-5;0
2020-06-02;AT-6;0
2020-06-02;AT-7;0
2020-06-02;AT-8;2
2020-06-02;AT-9;11
2020-06-03;AT-1;0
2020-06-03;AT-2;0
2020-06-03;AT-3;1
2020-06-03;AT-4;4
2020-06-03;AT-5;0
2020-06-03;AT-6;2
2020-06-03;AT-7;4
2020-06-03;AT-8;0
2020-06-03;AT-9;42
2020-06-04;AT-1;0
2020-06-04;AT-2;0
2020-06-04;AT-3;3
2020-06-04;AT-4;0
2020-06-04;AT-5;1
2020-06-04;AT-6;1
2020-06-04;AT-7;1
2020-06-04;AT-8;3
2020-06-04;AT-9;8
2020-06-05;AT-1;0
2020-06-05;AT-2;0
2020-06-05;AT-3;7
2020-06-05;AT-4;11
2020-06-05;AT-5;0
2020-06-05;AT-6;1
2020-06-05;AT-7;0
2020-06-05;AT-8;1
2020-06-05;AT-9;46
2020-06-06;AT-1;0
2020-06-06;AT-2;0
2020-06-06;AT-3;3
2020-06-06;AT-4;3
2020-06-06;AT-5;0
2020-06-06;AT-6;0
2020-06-06;AT-7;0
2020-06-06;AT-8;0
2020-06-06;AT-9;25
2020-06-07;AT-1;0
2020-06-07;AT-2;0
2020-06-07;AT-3;2
2020-06-07;AT-4;1
2020-06-07;AT-5;0
2020-06-07;AT-6;0
