date;region;shotNo;doses
2021-01-10;AT-2;4;0
2021-01-10;AT-3;1;879
2021-01-10;AT-3;2;0
2021-01-10;AT-3;3;0
2021-01-10;AT-3;4;0
2021-01-10;AT-4;1;12
2021-01-10;AT-4;2;0
2021-01-10;AT-4;3;0
2021-01-10;AT-4;4;0
2021-01-10;AT-5;1;43
2021-01-10;AT-5;2;0
2021-01-10;AT-5;3;0
2021-01-10;AT-5;4;0
2021-01-10;AT-6;1;18
2021-01-10;AT-6;2;0
2021-01-10;AT-6;3;0
2021-01-10;AT-6;4;0
2021-01-10;AT-7;1;23
2021-01-10;AT-7;2;0
2021-01-10;AT-7;3;0
2021-01-10;AT-7;4;0
2021-01-10;AT-8;1;1090
2021-01-10;AT-8;2;0
2021-01-10;AT-8;3;0
2021-01-10;AT-8;4;0
2021-01-10;AT-9;1;130
2021-01-10;AT-9;2;0
2021-01-10;AT-9;3;0
2021-01-10;AT-9;4;0
2021-01-11;AT-1;1;306
2021-01-11;AT-1;2;0
2021-01-11;AT-1;3;0
2021-01-11;AT-1;4;0
2021-01-11;AT-2;1;172
2021-01-11;AT-2;2;0
2021-01-11;AT-2;3;0
2021-01-11;AT-2;4;0
2021-01-11;AT-3;1;2334
2021-01-11;AT-3;2;0
2021-01-11;AT-3;3;0
2021-01-11;AT-3;4;0
2021-01-11;AT-4;1;155
2021-01-11;AT-4;2;1
2021-01-11;AT-4;3;0
2021-01-11;AT-4;4;0
2021-01-11;AT-5;1;564
2021-01-11;AT-5;2;1
2021-01-11;AT-5;3;0
2021-01-11;AT-5;4;0
2021-01-11;AT-6;1;663
2021-01-11;AT-6;2;0
2021-01-11;AT-6;3;0
2021-01-11;AT-6;4;0
2021-01-11;AT-7;1;141
2021-01-11;AT-7;2;1
2021-01-11;AT-7;3;0
2021-01-11;AT-7;4;0
2021-01-11;AT-8;1;126
2021-01-11;AT-8;2;0
2021-01-11;AT-8;3;0
2021-01-11;AT-8;4;0
2021-01-11;AT-9;1;1188
2021-01-11;AT-9;2;0
2021-01-11;AT-9;3;0
2021-01-11;AT-9;4;0
2021-01-12;AT-1;1;598
2021-01-12;AT-1;2;0
2021-01-12;AT-1;3;0
2021-01-12;AT-1;4;0
2021-01-12;AT-2;1;1862
2021-01-12;AT-2;2;0
2021-01-12;AT-2;3;0
2021-01-12;AT-2;4;0
2021-01-12;AT-3;1;3097
2021-01-12;AT-3;2;0
2021-01-12;AT-3;3;0
2021-01-12;AT-3;4;0
2021-01-12;AT-4;1;1994
2021-01-12;AT-4;2;0
2021-01-12;AT-4;3;0
2021-01-12;AT-4;4;0
2021-01-12;AT-5;1;804
2021-01-12;AT-5;2;1
2021-01-12;AT-5;3;0
2021-01-12;AT-5;4;0
2021-01-12;AT-6;1;1673
2021-01-12;AT-6;2;0
2021-01-12;AT-6;3;0
2021-01-12;AT-6;4;0
2021-01-12;AT-7;1;2934
2021-01-12;AT-7;2;0
2021-01-12;AT-7;3;0
2021-01-12;AT-7;4;0
2021-01-12;AT-8;1;427
2021-01-12;AT-8;2;0
2021-01-12;AT-8;3;0
2021-01-12;AT-8;4;0
2021-01-12;AT-9;1;1536
2021-01-12;AT-9;2;0
2021-01-12;AT-9;3;0
2021-01-12;AT-9;4;0
2021-01-13;AT-1;1;528
2021-01-13;AT-1;2;0
2021-01-13;AT-1;3;0
2021-01-13;AT-1;4;0
2021-01-13;AT-2;1;1662
2021-01-13;AT-2;2;0
2021-01-13;AT-2;3;0
2021-01-13;AT-2;4;0
2021-01-13;AT-3;1;2064
2021-01-13;AT-3;2;0
2021-01-13;AT-3;3;0
2021-01-13;AT-3;4;0
2021-01-13;AT-4;1;3672
2021-01-13;AT-4;2;0
2021-01-13;AT-4;3;0
2021-01-13;AT-4;4;0
2021-01-13;AT-5;1;639
2021-01-13;AT-5;2;1
2021-01-13;AT-5;3;0
2021-01-13;AT-5;4;0
2021-01-13;AT-6;1;2019
2021-01-13;AT-6;2;0
2021-01-13;AT-6;3;0
2021-01-13;AT-6;4;0
2021-01-13;AT-7;1;2376
2021-01-13;AT-7;2;0
2021-01-13;AT-7;3;0
2021-01-13;AT-7;4;0
2021-01-13;AT-8;1;1459
2021-01-13;AT-8;2;0
2021-01-13;AT-8;3;0
2021-01-13;AT-8;4;0
2021-01-13;AT-9;1;1594
2021-01-13;AT-9;2;0
2021-01-13;AT-9;3;0
2021-01-13;AT-9;4;0
2021-01-14;AT-1;1;396
2021-01-14;AT-1;2;0
2021-01-14;AT-1;3;0
2021-01-14;AT-1;4;0
2021-01-14;AT-2;1;1471
2021-01-14;AT-2;2;0
2021-01-14;AT-2;3;0
2021-01-14;AT-2;4;0
2021-01-14;AT-3;1;2269
2021-01-14;AT-3;2;0
2021-01-14;AT-3;3;0
2021-01-14;AT-3;4;0
2021-01-14;AT-4;1;3889
2021-01-14;AT-4;2;0
2021-01-14;AT-4;3;0
2021-01-14;AT-4;4;0
2021-01-14;AT-5;1;1160
2021-01-14;AT-5;2;0
2021-01-14;AT-5;3;0
2021-01-14;AT-5;4;0
2021-01-14;AT-6;1;2967
2021-01-14;AT-6;2;0
2021-01-14;AT-6;3;0
2021-01-14;AT-6;4;0
2021-01-14;AT-7;1;2243
2021-01-14;AT-7;2;2
2021-01-14;AT-7;3;0
2021-01-14;AT-7;4;0
2021-01-14;AT-8;1;316
2021-01-14;AT-8;2;0
2021-01-14;AT-8;3;0
2021-01-14;AT-8;4;0
2021-01-14;AT-9;1;2204
2021-01-14;AT-9;2;0
2021-01-14;AT-9;3;0
2021-01-14;AT-9;4;0
2021-01-15;AT-1;1;1279
2021-01-15;AT-1;2;0
2021-01-15;AT-1;3;0
2021-01-15;AT-1;4;0
2021-01-15;AT-2;1;71
2021-01-15;AT-2;2;0
2021-01-15;AT-2;3;0
2021-01-15;AT-2;4;0
2021-01-15;AT-3;1;1364
2021-01-15;AT-3;2;1
2021-01-15;AT-3;3;0
2021-01-15;AT-3;4;0
2021-01-15;AT-4;1;2125
2021-01-15;AT-4;2;0
2021-01-15;AT-4;3;0
2021-01-15;AT-4;4;0
2021-01-15;AT-5;1;1390
2021-01-15;AT-5;2;0
2021-01-15;AT-5;3;0
2021-01-15;AT-5;4;0
2021-01-15;AT-6;1;4691
2021-01-15;AT-6;2;0
2021-01-15;AT-6;3;0
2021-01-15;AT-6;4;0
2021-01-15;AT-7;1;1916
2021-01-15;AT-7;2;1
2021-01-15;AT-7;3;0
2021-01-15;AT-7;4;0
2021-01-15;AT-8;1;1030
2021-01-15;AT-8;2;1
2021-01-15;AT-8;3;0
2021-01-15;AT-8;4;0
2021-01-15;AT-9;1;4574
2021-01-15;AT-9;2;0
2021-01-15;AT-9;3;0
2021-01-15;AT-9;4;0
2021-01-16;AT-1;1;170
2021-01-16;AT-1;2;0
2021-01-16;AT-1;3;0
2021-01-16;AT-1;4;0
2021-01-16;AT-2;1;1158
2021-01-16;AT-2;2;0
2021-01-16;AT-2;3;0
2021-01-16;AT-2;4;0
2021-01-16;AT-3;1;661
2021-01-16;AT-3;2;11
2021-01-16;AT-3;3;0
2021-01-16;AT-3;4;0
2021-01-16;AT-4;1;177
2021-01-16;AT-4;2;0
2021-01-16;AT-4;3;0
2021-01-16;AT-4;4;0
2021-01-16;AT-5;1;225
2021-01-16;AT-5;2;0
2021-01-16;AT-5;3;0
2021-01-16;AT-5;4;0
2021-01-16;AT-6;1;773
2021-01-16;AT-6;2;0
2021-01-16;AT-6;3;0
2021-01-16;AT-6;4;0
2021-01-16;AT-7;1;163
2021-01-16;AT-7;2;0
2021-01-16;AT-7;3;0
2021-01-16;AT-7;4;0
2021-01-16;AT-8;1;756
2021-01-16;AT-8;2;0
2021-01-16;AT-8;3;0
2021-01-16;AT-8;4;0
2021-01-16;AT-9;1;2777
2021-01-16;AT-9;2;0
2021-01-16;AT-9;3;0
2021-01-16;AT-9;4;0
2021-01-17;AT-1;1;172
2021-01-17;AT-1;2;82
2021-01-17;AT-1;3;0
2021-01-17;AT-1;4;0
2021-01-17;AT-2;1;799
2021-01-17;AT-2;2;0
2021-01-17;AT-2;3;0
2021-01-17;AT-2;4;0
2021-01-17;AT-3;1;513
2021-01-17;AT-3;2;9
2021-01-17;AT-3;3;0
2021-01-17;AT-3;4;0
2021-01-17;AT-4;1;95
2021-01-17;AT-4;2;3
2021-01-17;AT-4;3;0
2021-01-17;AT-4;4;0
2021-01-17;AT-5;1;15
2021-01-17;AT-5;2;1
2021-01-17;AT-5;3;0
2021-01-17;AT-5;4;0
2021-01-17;AT-6;1;94
2021-01-17;AT-6;2;1
2021-01-17;AT-6;3;0
2021-01-17;AT-6;4;0
2021-01-17;AT-7;1;491
2021-01-17;AT-7;2;2
2021-01-17;AT-7;3;0
2021-01-17;AT-7;4;0
2021-01-17;AT-8;1;701
2021-01-17;AT-8;2;270
2021-01-17;AT-8;3;0
2021-01-17;AT-8;4;0
2021-01-17;AT-9;1;2436
2021-01-17;AT-9;2;9
2021-01-17;AT-9;3;0
2021-01-17;AT-9;4;0
2021-01-18;AT-1;1;463
2021-01-18;AT-1;2;22
2021-01-18;AT-1;3;0
2021-01-18;AT-1;4;0
2021-01-18;AT-2;1;63
2021-01-18;AT-2;2;1
2021-01-18;AT-2;3;0
2021-01-18;AT-2;4;0
2021-01-18;AT-3;1;1490
2021-01-18;AT-3;2;372
2021-01-18;AT-3;3;0
2021-01-18;AT-3;4;0
2021-01-18;AT-4;1;921
2021-01-18;AT-4;2;2
2021-01-18;AT-4;3;0
2021-01-18;AT-4;4;0
2021-01-18;AT-5;1;293
2021-01-18;AT-5;2;86
2021-01-18;AT-5;3;0
2021-01-18;AT-5;4;0
2021-01-18;AT-6;1;1914
2021-01-18;AT-6;2;8
2021-01-18;AT-6;3;0
2021-01-18;AT-6;4;0
2021-01-18;AT-7;1;204
2021-01-18;AT-7;2;1
2021-01-18;AT-7;3;0
2021-01-18;AT-7;4;0
2021-01-18;AT-8;1;164
2021-01-18;AT-8;2;3
2021-01-18;AT-8;3;0
2021-01-18;AT-8;4;0
2021-01-18;AT-9;1;5000
2021-01-18;AT-9;2;429
2021-01-18;AT-9;3;0
2021-01-18;AT-9;4;0
2021-01-19;AT-1;1;757
2021-01-19;AT-1;2;22
2021-01-19;AT-1;3;0
2021-01-19;AT-1;4;0
2021-01-19;AT-2;1;989
2021-01-19;AT-2;2;2
2021-01-19;AT-2;3;0
2021-01-19;AT-2;4;0
2021-01-19;AT-3;1;3349
2021-01-19;AT-3;2;895
2021-01-19;AT-3;3;0
2021-01-19;AT-3;4;0
2021-01-19;AT-4;1;6237
2021-01-19;AT-4;2;8
2021-01-19;AT-4;3;0
2021-01-19;AT-4;4;0
2021-01-19;AT-5;1;1611
2021-01-19;AT-5;2;2
2021-01-19;AT-5;3;0
2021-01-19;AT-5;4;0
2021-01-19;AT-6;1;5324
2021-01-19;AT-6;2;49
2021-01-19;AT-6;3;0
2021-01-19;AT-6;4;0
2021-01-19;AT-7;1;2022
2021-01-19;AT-7;2;95
2021-01-19;AT-7;3;0
2021-01-19;AT-7;4;0
2021-01-19;AT-8;1;378
2021-01-19;AT-8;2;3
2021-01-19;AT-8;3;0
2021-01-19;AT-8;4;0
2021-01-19;AT-9;1;4005
2021-01-19;AT-9;2;430
2021-01-19;AT-9;3;0
2021-01-19;AT-9;4;0
2021-01-20;AT-1;1;713
2021-01-20;AT-1;2;17
2021-01-20;AT-1;3;0
2021-01-20;AT-1;4;0
